dataset,source_csv,row_index,title,doi_or_url,regime,regime_score,relevant,models_detected,families_detected,include_any_use,primary_model,primary_family,include_primary_only,primary_reason,doi_norm,openalex_openalex_id,openalex_doi,openalex_title,openalex_abstract,openalex_authors,openalex_source,openalex_year,openalex_publication_date,openalex_matched_ml_terms,openalex_regime_selected,openalex_matched_regime_terms,openalex__openalex_source_file,pdf_downloaded,manual_primary_family,manual_primary_model,manual_primary_ambiguous,manual_families_any,manual_models_any
mpower,openalex_mpower_M_ml_top350.csv,177,Pre-trained Convolutional Neural Networks Identify Parkinson’s Disease from Spectrogram Images of Voice Samples,https://doi.org/10.21203/rs.3.rs-5348708/v1,M,2,TRUE,CNN; DNN; LSTM; MLP; RNN; Transformer; Random Forest; Logistic Regression; Ensemble,Deep learning; Ensemble / stacking; Linear / GLM; Tree-based ensemble,TRUE,CNN,Deep learning,TRUE,ok,10.21203/rs.3.rs-5348708/v1,https://openalex.org/W4405526478,https://doi.org/10.21203/rs.3.rs-5348708/v1,Pre-trained Convolutional Neural Networks Identify Parkinson’s Disease from Spectrogram Images of Voice Samples,,"Yasir Rahmatallah, Aaron S. Kemp, Anu Iyer, et al.",Research Square,2024,12/18/2024,neural network; neural networks; convolutional neural network,M,,openalex_mpower_M_ml_top350.csv,TRUE,Deep learning,CNN,FALSE,Deep learning;Tree-based ensemble;Linear / GLM;Ensemble / stacking,CNN;DNN;Transformer;Random Forest;Logistic Regression;Ensemble
studentlife,openalex_studentlife_M_ml_top350.csv,248,Predicting Depressive Symptom Severity Through Individuals’ Nearby Bluetooth Device Count Data Collected by Mobile Phones: Preliminary Longitudinal Study,https://doi.org/10.2196/29840,M,5,TRUE,XGBoost; LASSO; Linear Regression; Bayesian Regression; Mixed-Effects Model,Linear / GLM; Probabilistic / statistical; Tree-based ensemble,TRUE,Linear Regression,Linear / GLM,TRUE,ok,10.2196/29840,https://openalex.org/W3172601496,https://doi.org/10.2196/29840,Predicting Depressive Symptom Severity Through Individuals’ Nearby Bluetooth Device Count Data Collected by Mobile Phones: Preliminary Longitudinal Study,Our statistical results indicate that the NBDC data have the potential to reflect changes in individuals' behaviors and statuses concurrent with the changes in the depressive state. The prediction results demonstrate that the NBDC data have a significant value in predicting depressive symptom severity. These findings may have utility for the mental health monitoring practice in real-world settings.,"Yuezhou Zhang, Amos Folarin, Shaoxiong Sun, et al.",JMIR mhealth and uhealth,2021,5/31/2021,prediction,M,,openalex_radar_cns_M_ml_top350.csv,TRUE,Linear / GLM,Linear Regression,FALSE,Tree-based ensemble;Linear / GLM;Probabilistic / statistical,XGBoost;LASSO;Linear Regression;Bayesian Regression;Mixed-Effects Model
studentlife,openalex_studentlife_M_ml_top350.csv,154,Measuring Affective State: Subject-Dependent and -Independent Prediction Based on Longitudinal Multimodal Sensing,https://doi.org/10.1109/taffc.2024.3474098,M,1,TRUE,Random Forest,Tree-based ensemble,TRUE,Random Forest,Tree-based ensemble,TRUE,ok,10.1109/taffc.2024.3474098,https://openalex.org/W4403095000,https://doi.org/10.1109/taffc.2024.3474098,Measuring Affective State: Subject-Dependent and -Independent Prediction Based on Longitudinal Multimodal Sensing,"Current sensors offering passive and continuous monitoring of behavioral patterns potentially enable real-time affective state monitoring. Previous research on affective state prediction with multimodal sensing in daily life has shown only small-to-moderate effects. One reason for this limited success might be the large variability across individuals. Current research is often of short duration, preventing proper within-individual modeling. With an extensive longitudinal data collection of nine months, this research focuses on individual-level predictions of valence and arousal in daily life. Sixteen PhD candidates from The Netherlands provided data about their affective states (self-reported valence and arousal), physiology (Oura rings) and behavioral patterns (AWARE framework for mobile phone data). Supporting our hypothesis, subject-dependent random forest (RF) models significantly outperformed subject-independent leave-one-subject-out (LOSO) models in predicting self-reported valence and arousal. The subject-dependent models achieved an average Spearman's rho correlation of 0.30 [0.14-0.60] for valence and 0.36 [0.16-0.69] for arousal. In many cases, participants’ a priori indicated informative sources matched with the feature importance. Making use of participants’ self-knowledge might thus help to reduce the amount of data to be collected. For future work, longer-term changes in affective state and combinations of features for estimating real behavioral patterns should be explored.","Lea Berkemeier, W. Kamphuis, Anne-Marie Brouwer, et al.",IEEE Transactions on Affective Computing,2024,10/3/2024,prediction; random forest,M,multimodal,openalex_studentlife_M_ml_top350.csv,FALSE,Tree-based ensemble,Random Forest,FALSE,Tree-based ensemble,Random Forest
ukb_imaging,openalex_ukb_imaging_M_ml_top350.csv,254,Machine learning approaches to predict age from accelerometer records of physical activity at biobank scale,https://doi.org/10.1371/journal.pdig.0000176,M,1,TRUE,CNN; DNN; LSTM; MLP; Gradient Boosting; LightGBM; Random Forest; XGBoost; Elastic Net; LASSO; Linear Regression; Ridge Regression; Support Vector Machine; Ensemble; Decision Tree,Deep learning; Ensemble / stacking; Kernel / instance-based; Linear / GLM; Other classical ML; Tree-based ensemble,TRUE,Elastic Net,Linear / GLM,TRUE,ok,10.1371/journal.pdig.0000176,https://openalex.org/W4317851270,https://doi.org/10.1371/journal.pdig.0000176,Machine learning approaches to predict age from accelerometer records of physical activity at biobank scale,"Physical activity improves quality of life and protects against age-related diseases. With age, physical activity tends to decrease, increasing vulnerability to disease in the elderly. In the following, we trained a neural network to predict age from 115,456 one week-long 100Hz wrist accelerometer recordings from the UK Biobank (mean absolute error = 3.7±0.2 years), using a variety of data structures to capture the complexity of real-world activity. We achieved this performance by preprocessing the raw frequency data as 2,271 scalar features, 113 time series, and four images. We defined accelerated aging for a participant as being predicted older than one's actual age and identified both genetic and environmental exposure factors associated with the new phenotype. We performed a genome wide association on the accelerated aging phenotypes to estimate its heritability (h_g2 = 12.3±0.9%) and identified ten single nucleotide polymorphisms in close proximity to genes in a histone and olfactory cluster on chromosome six (e.g HIST1H1C, OR5V1). Similarly, we identified biomarkers (e.g blood pressure), clinical phenotypes (e.g chest pain), diseases (e.g hypertension), environmental (e.g smoking), and socioeconomic (e.g income and education) variables associated with accelerated aging. Physical activity-derived biological age is a complex phenotype associated with both genetic and non-genetic factors.","Alan Le Goallec, Sasha Collin, M’Hamed Jabri, et al.",PLOS Digital Health,2023,1/24/2023,machine learning; neural network,M,,openalex_ukb_imaging_M_ml_top350.csv,TRUE,Deep learning,DNN,FALSE,Deep learning;Tree-based ensemble;Linear / GLM;Ensemble / stacking,CNN;DNN;LSTM;LightGBM;Random Forest;XGBoost;Elastic Net;LASSO;Linear Regression;Ensemble
adni,openalex_adni_M_ml_top350.csv,64,"Inexpensive, non-invasive biomarkers predict Alzheimer transition using machine learning analysis of the Alzheimer’s Disease Neuroimaging (ADNI) database",https://doi.org/10.1371/journal.pone.0235663,M,2,TRUE,Gradient Boosting; Random Forest; Support Vector Machine; Ensemble; Decision Tree,Ensemble / stacking; Kernel / instance-based; Other classical ML; Tree-based ensemble,TRUE,Random Forest,Tree-based ensemble,TRUE,ok,10.1371/journal.pone.0235663,https://openalex.org/W3045594725,https://doi.org/10.1371/journal.pone.0235663,"Inexpensive, non-invasive biomarkers predict Alzheimer transition using machine learning analysis of the Alzheimer’s Disease Neuroimaging (ADNI) database","The Alzheimer's Disease Neuroimaging (ADNI) database is an expansive undertaking by government, academia, and industry to pool resources and data on subjects at various stage of symptomatic severity due to Alzheimer's disease. As expected, magnetic resonance imaging is a major component of the project. Full brain images are obtained at every 6-month visit. A range of cognitive tests studying executive function and memory are employed less frequently. Two blood draws (baseline, 6 months) provide samples to measure concentrations of approximately 145 plasma biomarkers. In addition, other diagnostic measurements are performed including PET imaging, cerebral spinal fluid measurements of amyloid-beta and tau peptides, as well as genetic tests, demographics, and vital signs. ADNI data is available upon review of an application. There have been numerous reports of how various processes evolve during AD progression, including alterations in metabolic and neuroendocrine activity, cell survival, and cognitive behavior. Lacking an analytic model at the onset, we leveraged recent advances in machine learning, which allow us to deal with large, non-linear systems with many variables. Of particular note was examining how well binary predictions of future disease states could be learned from simple, non-invasive measurements like those dependent on blood samples. Such measurements make relatively little demands on the time and effort of medical staff or patient. We report findings with recall/precision/area under the receiver operator curve after application of CART, Random Forest, Gradient Boosting, and Support Vector Machines, Our results show (i) Random Forests and Gradient Boosting work very well with such data, (ii) Prediction quality when applied to relatively easily obtained measurements (Cognitive scores, Genetic Risk and plasma biomarkers) achieve results that are competitive with magnetic resonance techniques. This is by no means an exhaustive study, but instead an exploration of the plausibility of defining a series of relatively inexpensive, broad population based tests.","Juan Felipe Beltrán, Brandon Malik Wahba, Nicole Hose, et al.",PLoS ONE,2020,7/27/2020,machine learning; prediction; random forest; gradient boosting; support vector machine; support vector machines,M,,openalex_adni_M_ml_top350.csv,TRUE,None/Unclear,None/Unclear,TRUE,Tree-based ensemble;Kernel / instance-based;Ensemble / stacking;Other classical ML,Gradient Boosting;Random Forest;Support Vector Machine;Ensemble;Decision Tree
studentlife,openalex_studentlife_M_ml_top350.csv,200,FedHealth: A Federated Transfer Learning Framework for Wearable Healthcare,https://doi.org/10.48550/arxiv.1907.09173,M,1,TRUE,Federated Learning,Other classical ML,TRUE,Federated Learning,Other classical ML,TRUE,ok,10.48550/arxiv.1907.09173,https://openalex.org/W2964156559,https://doi.org/10.48550/arxiv.1907.09173,FedHealth: A Federated Transfer Learning Framework for Wearable Healthcare,"With the rapid development of computing technology, wearable devices such as smart phones and wristbands make it easy to get access to people's health information including activities, sleep, sports, etc. Smart healthcare achieves great success by training machine learning models on a large quantity of user data. However, there are two critical challenges. Firstly, user data often exists in the form of isolated islands, making it difficult to perform aggregation without compromising privacy security. Secondly, the models trained on the cloud fail on personalization. In this paper, we propose FedHealth, the first federated transfer learning framework for wearable healthcare to tackle these challenges. FedHealth performs data aggregation through federated learning, and then builds personalized models by transfer learning. It is able to achieve accurate and personalized healthcare without compromising privacy and security. Experiments demonstrate that FedHealth produces higher accuracy (5.3% improvement) for wearable activity recognition when compared to traditional methods. FedHealth is general and extensible and has the potential to be used in many healthcare applications.","Yiqiang Chen, Jindong Wang, Chaohui Yu, et al.",arXiv (Cornell University),2019,7/22/2019,machine learning,M,wearable,openalex_studentlife_M_ml_top350.csv,TRUE,Other classical ML,Federated Learning,FALSE,Deep learning;Tree-based ensemble;Kernel / instance-based;Probabilistic / statistical;Ensemble / stacking;Other classical ML,Autoencoder;CNN;DNN;RNN;Gradient Boosting;Random Forest;Support Vector Machine;k-Nearest Neighbors;Hidden Markov Model;Ensemble;Decision Tree;Federated Learning
radar_cns,openalex_radar_cns_M_ml_top350.csv,158,"A Reliable Multi-Sensor Navigation System for an Unmanned Aerial Vehicle Realized through Integration of SINS with GPS, CNS and Doppler Radar",https://doi.org/10.4028/www.scientific.net/amm.392.312,M,1,TRUE,Kalman Filter,Probabilistic / statistical,TRUE,Kalman Filter,Probabilistic / statistical,TRUE,ok,10.4028/www.scientific.net/amm.392.312,https://openalex.org/W2037378930,https://doi.org/10.4028/www.scientific.net/amm.392.312,"A Reliable Multi-Sensor Navigation System for an Unmanned Aerial Vehicle Realized through Integration of SINS with GPS, CNS and Doppler Radar","Contemporary importance of the unmanned aerial vehicle (UAV) both for military and civilian applications has prompted vigorous research related with guidance, navigation and control of these vehicles. The potential civilian uses for small low-cost UAVs are various like reconnaissance, surveillance, rescue and search, remote sensing, traffic monitoring, destruction appraisal of natural disasters, etc. One of the most crucial parts of UAVs missions is accurate navigation of the vehicle, i.e. the real time determination of its position, velocity and attitude. Generally highly accurate Strap down Inertial Navigation Systems (SINS) are too heavy to be flown on UAVs. Moreover highly accurate SINS are also highly expensive. Therefore the low-cost and low weight MEMS based SINS with a compromised precision are the viable option for navigation of UAVs. The errors in position, velocity, and attitude solutions provided by the MEMS based SINS grow unboundedly with the passage of time. To contain these growing errors, integrated navigation is the resolution. Complementary characteristics SINS and external non-inertial navigation aids like Global Positioning System (GPS), Celestial Navigation System (CNS) and Doppler radar make the integrated navigation system an appealing and cost effective solution. The non-inertial sensors providing navigation fixes must have low weight and volume to be suitable for UAV application. In this research work GPS, CNS and Doppler radar are used as external navigation aids for SINS. The navigation solutions of all contributing systems are fused using Federated Kalman Filter (FKF). Three local filters are employed for SINS/GPS, SINS/CNS and SINS/Doppler integration and subsequently information from all three local filters is fused to acquire a global solution. Moreover adaptive and fault tolerant filtering scheme has also been implemented in each local filter to isolate or accommodate any undesirable error or noise. Simulation for the presented architecture has validated the effectiveness of the scheme, by showing a substantial precision improvement in the solutions of position, velocity and attitude.","Muhammad Ushaq, Cheng Fang",Applied Mechanics and Materials,2013,9/1/2013,ann,M,,openalex_radar_cns_M_ml_top350.csv,FALSE,Probabilistic / statistical,Kalman Filter,FALSE,Probabilistic / statistical,Kalman Filter
studentlife,openalex_studentlife_M_ml_top350.csv,93,Joint Modeling of Heterogeneous Sensing Data for Depression Assessment via Multi-task Learning,https://doi.org/10.1145/3191753,M,2,TRUE,Joint Model,Survival models,TRUE,Joint Model,Survival models,TRUE,ok,10.1145/3191753,https://openalex.org/W2794506852,https://doi.org/10.1145/3191753,Joint Modeling of Heterogeneous Sensing Data for Depression Assessment via Multi-task Learning,"Depression is a common mood disorder that causes severe medical problems and interferes negatively with daily life. Identifying human behavior patterns that are predictive or indicative of depressive disorder is important. Clinical diagnosis of depression relies on costly clinician assessment using survey instruments which may not objectively reflect the fluctuation of daily behavior. Self-administered surveys, such as the Quick Inventory of Depressive Symptomatology (QIDS) commonly used to monitor depression, may show disparities from clinical decision. Smartphones provide easy access to many behavioral parameters, and Fitbit wrist bands are becoming another important tool to assess variables such as heart rates and sleep efficiency that are complementary to smartphone sensors. However, data used to identify depression indicators have been limited to a single platform either iPhone, or Android, or Fitbit alone due to the variation in their methods of data collection. The present work represents a large-scale effort to collect and integrate data from mobile phones, wearable devices, and self reports in depression analysis by designing a new machine learning approach. This approach constructs sparse mappings from sensing variables collected by various tools to two separate targets: self-reported QIDS scores and clinical assessment of depression severity. We propose a so-called heterogeneous multi-task feature learning method that jointly builds inference models for related tasks but of different types including classification and regression tasks. The proposed method was evaluated using data collected from 103 college students and could predict the QIDS score with an R2 reaching 0.44 and depression severity with an F1-score as high as 0.77. By imposing appropriate regularizers, our approach identified strong depression indicators such as time staying at home and total time asleep.","Jin Lü, Chao Shang, Chaoqun Yue, et al.",Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies,2018,3/26/2018,machine learning; predictive; classification,M,wearable; smartphone,openalex_studentlife_M_ml_top350.csv,FALSE,Survival models,Joint Model,FALSE,Survival models,Joint Model
mpower,openalex_mpower_M_ml_top350.csv,9,Remote Medication Status Prediction for Individuals with Parkinson’s Disease using Time-series Data from Smartphones,https://doi.org/10.1109/icdh60066.2023.00016,M,3,TRUE,Transformer,Deep learning,TRUE,Transformer,Deep learning,TRUE,ok,10.1109/icdh60066.2023.00016,https://openalex.org/W4386215133,https://doi.org/10.1109/icdh60066.2023.00016,Remote Medication Status Prediction for Individuals with Parkinson’s Disease using Time-series Data from Smartphones,"Medication for neurological diseases such as the Parkinson’s disease usually happens remotely away from hospitals. Such out-of-lab environments pose challenges in collecting timely and accurate health status data. Individual differences in behavioral signals collected from wearable sensors also lead to difficulties in adopting current general machine learning analysis pipelines. To address these challenges, we present a method for predicting the medication status of Parkinson’s disease patients using the public mPower dataset, which contains 62,182 remote multi-modal test records collected on smartphones from 487 patients. The proposed method shows promising results in predicting three medication statuses objectively: Before Medication (AUC=0.95), After Medication (AUC=0.958), and Another Time (AUC=0.976) by examining patient-wise historical records with the attention weights learned through a Transformer model. Our method provides an innovative way for personalized remote health sensing in a timely and objective fashion which could benefit a broad range of similar applications.","Weijian Li, Wei Zhu, E. Ray Dorsey, et al.",,2023,7/1/2023,machine learning; prediction; transformer; auc,M,multi-modal; wearable; smartphone,openalex_mpower_M_ml_top350.csv,FALSE,Deep learning,Transformer,FALSE,Deep learning,Transformer
studentlife,openalex_studentlife_M_ml_top350.csv,34,Correlates of Stress in the College Environment Uncovered by the Application of Penalized Generalized Estimating Equations to Mobile Sensing Data (Preprint),https://doi.org/10.2196/preprints.12084,M,1,TRUE,Generalized Estimating Equations,Probabilistic / statistical,TRUE,Generalized Estimating Equations,Probabilistic / statistical,TRUE,ok,10.2196/preprints.12084,https://openalex.org/W4254026651,https://doi.org/10.2196/preprints.12084,Correlates of Stress in the College Environment Uncovered by the Application of Penalized Generalized Estimating Equations to Mobile Sensing Data (Preprint),"<sec> <title>BACKGROUND</title> Stress levels among college students have been on the rise for the last few decades. Currently, rates of reported stress among college students are at an all-time high. Traditionally, the dominant way to assess stress levels has been through pen-and-paper surveys. </sec> <sec> <title>OBJECTIVE</title> The aim of this study is to use passive sensing data collected via mobile phones to obtain a rich and potentially less-biased source of data that can be used to help better understand stressors in the college experience. </sec> <sec> <title>METHODS</title> We used a mobile sensing app, StudentLife, in tandem with a pictorial mobile phone–based measure of stress, the Mobile Photographic Stress Meter, to investigate the situations and contexts that are more likely to precipitate stress. </sec> <sec> <title>RESULTS</title> Using recently developed methods for handling high-dimensional longitudinal data, penalized generalized estimating equations, we identified a set of mobile sensing features (absolute values of beta &gt;0.001 and robust z&gt;1.96) across the domains of social activity, movement, location, and ambient noise that were predictive of student stress levels. </sec> <sec> <title>CONCLUSIONS</title> By combining recent statistical methods and mobile phone sensing, we have been able to study stressors in the college experience in a way that is more objective, detailed, and less intrusive than past research. Future work can leverage information gained from passive sensing and use that to develop real-time, targeted interventions for students experiencing a stressful time. </sec>","Alex W DaSilva, Jeremy F. Huckins, Rui Wang, et al.",,2018,8/31/2018,predictive,M,,openalex_studentlife_M_ml_top350.csv,FALSE,Probabilistic / statistical,Generalized Estimating Equations,FALSE,Probabilistic / statistical,Generalized Estimating Equations
adni,openalex_adni_M_ml_top350.csv,113,Hierarchical Interactions Model for Predicting Mild Cognitive Impairment (MCI) to Alzheimer's Disease (AD) Conversion,https://doi.org/10.1371/journal.pone.0082450,M,1,TRUE,Random Forest; Elastic Net; LASSO; Linear Regression; Logistic Regression; Support Vector Machine,Kernel / instance-based; Linear / GLM; Tree-based ensemble,TRUE,LASSO,Linear / GLM,TRUE,ok,10.1371/journal.pone.0082450,https://openalex.org/W2061637491,https://doi.org/10.1371/journal.pone.0082450,Hierarchical Interactions Model for Predicting Mild Cognitive Impairment (MCI) to Alzheimer's Disease (AD) Conversion,"Identifying patients with Mild Cognitive Impairment (MCI) who are likely to convert to dementia has recently attracted increasing attention in Alzheimer's disease (AD) research. An accurate prediction of conversion from MCI to AD can aid clinicians to initiate treatments at early stage and monitor their effectiveness. However, existing prediction systems based on the original biosignatures are not satisfactory. In this paper, we propose to fit the prediction models using pairwise biosignature interactions, thus capturing higher-order relationship among biosignatures. Specifically, we employ hierarchical constraints and sparsity regularization to prune the high-dimensional input features. Based on the significant biosignatures and underlying interactions identified, we build classifiers to predict the conversion probability based on the selected features. We further analyze the underlying interaction effects of different biosignatures based on the so-called stable expectation scores. We have used 293 MCI subjects from Alzheimer's Disease Neuroimaging Initiative (ADNI) database that have MRI measurements at the baseline to evaluate the effectiveness of the proposed method. Our proposed method achieves better classification performance than state-of-the-art methods. Moreover, we discover several significant interactions predictive of MCI-to-AD conversion. These results shed light on improving the prediction performance using interaction features.","Han Li, Yashu Liu, Pinghua Gong, et al.",PLoS ONE,2014,1/8/2014,prediction model; prediction; predictive; classifier; classification,M,,openalex_adni_M_ml_top350.csv,TRUE,Linear / GLM,Linear Regression,FALSE,Tree-based ensemble;Linear / GLM;Kernel / instance-based,Random Forest;Elastic Net;LASSO;Linear Regression;Logistic Regression;Support Vector Machine
radar_cns,openalex_radar_cns_M_ml_top350.csv,10,Are innovation and new technologies in precision medicine paving a new era in patients centric care?,https://doi.org/10.1186/s12967-019-1864-9,M,4,TRUE,DNN; Random Forest; Support Vector Machine,Deep learning; Kernel / instance-based; Tree-based ensemble,TRUE,Random Forest,Tree-based ensemble,TRUE,ok,10.1186/s12967-019-1864-9,https://openalex.org/W2942537220,https://doi.org/10.1186/s12967-019-1864-9,Are innovation and new technologies in precision medicine paving a new era in patients centric care?,"Healthcare is undergoing a transformation, and it is imperative to leverage new technologies to generate new data and support the advent of precision medicine (PM). Recent scientific breakthroughs and technological advancements have improved our understanding of disease pathogenesis and changed the way we diagnose and treat disease leading to more precise, predictable and powerful health care that is customized for the individual patient. Genetic, genomics, and epigenetic alterations appear to be contributing to different diseases. Deep clinical phenotyping, combined with advanced molecular phenotypic profiling, enables the construction of causal network models in which a genomic region is proposed to influence the levels of transcripts, proteins, and metabolites. Phenotypic analysis bears great importance to elucidat the pathophysiology of networks at the molecular and cellular level. Digital biomarkers (BMs) can have several applications beyond clinical trials in diagnostics-to identify patients affected by a disease or to guide treatment. Digital BMs present a big opportunity to measure clinical endpoints in a remote, objective and unbiased manner. However, the use of ""omics"" technologies and large sample sizes have generated massive amounts of data sets, and their analyses have become a major bottleneck requiring sophisticated computational and statistical methods. With the wealth of information for different diseases and its link to intrinsic biology, the challenge is now to turn the multi-parametric taxonomic classification of a disease into better clinical decision-making by more precisely defining a disease. As a result, the big data revolution has provided an opportunity to apply artificial intelligence (AI) and machine learning algorithms to this vast data set. The advancements in digital health opportunities have also arisen numerous questions and concerns on the future of healthcare practices in particular with what regards the reliability of AI diagnostic tools, the impact on clinical practice and vulnerability of algorithms. AI, machine learning algorithms, computational biology, and digital BMs will offer an opportunity to translate new data into actionable information thus, allowing earlier diagnosis and precise treatment options. A better understanding and cohesiveness of the different components of the knowledge network is a must to fully exploit the potential of it.","Attila A. Seyhan, Claudio Carini",Journal of Translational Medicine,2019,4/5/2019,machine learning; artificial intelligence; classification; algorithm; ann,M,,openalex_radar_cns_M_ml_top350.csv,TRUE,,,TRUE,,
mpower,openalex_mpower_M_ml_top350.csv,266,StudyU: A Platform for Designing and Conducting Innovative Digital N-of-1 Trials,https://doi.org/10.2196/35884,M,2,TRUE,DNN; Transformer; Linear Regression; Mixed-Effects Model,Deep learning; Linear / GLM; Probabilistic / statistical,TRUE,Linear Regression,Linear / GLM,TRUE,ok,10.2196/35884,https://openalex.org/W3114813114,https://doi.org/10.2196/35884,StudyU: A Platform for Designing and Conducting Innovative Digital N-of-1 Trials,"N-of-1 trials are the gold standard study design to evaluate individual treatment effects and derive personalized treatment strategies. Digital tools have the potential to initiate a new era of N-of-1 trials in terms of scale and scope, but fully functional platforms are not yet available. Here, we present the open source StudyU platform, which includes the StudyU Designer and StudyU app. With the StudyU Designer, scientists are given a collaborative web application to digitally specify, publish, and conduct N-of-1 trials. The StudyU app is a smartphone app with innovative user-centric elements for participants to partake in trials published through the StudyU Designer to assess the effects of different interventions on their health. Thereby, the StudyU platform allows clinicians and researchers worldwide to easily design and conduct digital N-of-1 trials in a safe manner. We envision that StudyU can change the landscape of personalized treatments both for patients and healthy individuals, democratize and personalize evidence generation for self-optimization and medicine, and can be integrated in clinical practice.","Stefan Konigorski, Sarah Wernicke, Tamara Slosarek, et al.",Journal of Medical Internet Research,2022,7/5/2022,ann,M,smartphone,openalex_mpower_M_ml_top350.csv,TRUE,None/Unclear,None/Unclear,TRUE,Deep learning;Linear / GLM;Probabilistic / statistical,DNN;Linear Regression;Mixed-Effects Model
tcga,openalex_tcga_M_ml_top350.csv,157,Fully automatic GBM segmentation in the TCGA-GBM dataset: Prognosis and correlation with VASARI features,https://doi.org/10.1038/srep16822,M,2,TRUE,Logistic Regression; Support Vector Machine; Ensemble,Ensemble / stacking; Kernel / instance-based; Linear / GLM,TRUE,Logistic Regression,Linear / GLM,TRUE,ok,10.1038/srep16822,https://openalex.org/W2208071854,https://doi.org/10.1038/srep16822,Fully automatic GBM segmentation in the TCGA-GBM dataset: Prognosis and correlation with VASARI features,"Abstract Reproducible definition and quantification of imaging biomarkers is essential. We evaluated a fully automatic MR-based segmentation method by comparing it to manually defined sub-volumes by experienced radiologists in the TCGA-GBM dataset, in terms of sub-volume prognosis and association with VASARI features. MRI sets of 109 GBM patients were downloaded from the Cancer Imaging archive. GBM sub-compartments were defined manually and automatically using the Brain Tumor Image Analysis (BraTumIA). Spearman’s correlation was used to evaluate the agreement with VASARI features. Prognostic significance was assessed using the C-index. Auto-segmented sub-volumes showed moderate to high agreement with manually delineated volumes (range (r): 0.4 – 0.86). Also, the auto and manual volumes showed similar correlation with VASARI features (auto r = 0.35, 0.43 and 0.36; manual r = 0.17, 0.67, 0.41, for contrast-enhancing, necrosis and edema, respectively). The auto-segmented contrast-enhancing volume and post-contrast abnormal volume showed the highest AUC (0.66, CI: 0.55–0.77 and 0.65, CI: 0.54–0.76), comparable to manually defined volumes (0.64, CI: 0.53–0.75 and 0.63, CI: 0.52–0.74, respectively). BraTumIA and manual tumor sub-compartments showed comparable performance in terms of prognosis and correlation with VASARI features. This method can enable more reproducible definition and quantification of imaging based biomarkers and has potential in high-throughput medical imaging research.","Emmanuel Rios Velazquez, Raphael Meier, William D. Dunn, et al.",Scientific Reports,2015,11/18/2015,gbm; auc,M,,openalex_tcga_M_ml_top350.csv,TRUE,None/Unclear,None/Unclear,TRUE,Linear / GLM;Kernel / instance-based;Ensemble / stacking,Logistic Regression;Support Vector Machine;Ensemble
ukb_imaging,openalex_ukb_imaging_M_ml_top350.csv,289,Abundant pleiotropy across neuroimaging modalities identified through a multivariate genome-wide association study,https://doi.org/10.1038/s41467-024-46817-4,M,1,TRUE,Linear Regression,Linear / GLM,TRUE,Linear Regression,Linear / GLM,TRUE,ok,10.1038/s41467-024-46817-4,https://openalex.org/W4393191245,https://doi.org/10.1038/s41467-024-46817-4,Abundant pleiotropy across neuroimaging modalities identified through a multivariate genome-wide association study,"Genetic pleiotropy is abundant across spatially distributed brain characteristics derived from one neuroimaging modality (e.g. structural, functional or diffusion magnetic resonance imaging [MRI]). A better understanding of pleiotropy across modalities could inform us on the integration of brain function, micro- and macrostructure. Here we show extensive genetic overlap across neuroimaging modalities at a locus and gene level in the UK Biobank (N = 34,029) and ABCD Study (N = 8607). When jointly analysing phenotypes derived from structural, functional and diffusion MRI in a genome-wide association study (GWAS) with the Multivariate Omnibus Statistical Test (MOSTest), we boost the discovery of loci and genes beyond previously identified effects for each modality individually. Cross-modality genes are involved in fundamental biological processes and predominantly expressed during prenatal brain development. We additionally boost prediction of psychiatric disorders by conditioning independent GWAS on our multimodal multivariate GWAS. These findings shed light on the shared genetic mechanisms underlying variation in brain morphology, functional connectivity, and tissue composition.","Elleke Tissink, Alexey Shadrin, Dennis van der Meer, et al.",Nature Communications,2024,3/26/2024,prediction,M,multimodal,openalex_ukb_imaging_M_ml_top350.csv,TRUE,Linear / GLM,Linear Regression,FALSE,Linear / GLM,Linear Regression
